,Message,Date,EventId,MatchedTemplate,ParsedValues
1232,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质C3.-.-.04.C1,BrandLS0,brandMS1,brandLS1,brandMS2雅都,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:33:33.901070,,,
1240,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质C3.-.-.04.C1,BrandLS0龙源H,brandMS1,brandLS1,brandMS2雅都,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:33:34.202529,,,
1277,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=C3.-.-.04.C1,楞型=3A,门幅=1850;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:33:59.257924,,,
1278,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:34:00.264968,,,
1311,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=C3.-.-.04.C1,楞型=3A,门幅=1850;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:36:49.595224,,,
1312,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:36:50.588789,,,
1345,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=C3.-.-.04.C1,楞型=3A,门幅=1850;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:37:52.044125,,,
1346,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:37:53.058139,,,
1350,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质C3.-.-.04.C1,BrandLS0,brandMS1,brandLS1,brandMS2山鹰S,brandLS2鸿翔,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:39:09.648166,,,
1357,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质C3.-.-.04.C1,BrandLS0龙源H,brandMS1,brandLS1,brandMS2山鹰S,brandLS2鸿翔,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:39:15.211289,,,
1368,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=09/C1,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:41:41.879066,,,
1372,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=09/C1,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:41:41.962207,,,
1378,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS1:其他接纸机MS1也快要到糊机了，本次实材处理任务终止"",""ExceptionInfo"":"" ""}",2026-06-22 00:42:55.503302,,,
1591,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质C1.09.C1.-.-,BrandLS0,brandMS1秋月,brandLS1林平,brandMS2龙源H,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:44:17.469017,,,
1600,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质C1.09.C1.-.-,BrandLS0理文,brandMS1秋月,brandLS1林平,brandMS2龙源H,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:44:17.840889,,,
1618,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=C1.09.C1.-.-,楞型=3B,门幅=2450;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:44:29.119058,,,
1619,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:44:30.120792,,,
1646,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=09/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:47:59.686924,,,
1669,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:48:04.308229,,,
1680,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:48:06.096915,,,
1688,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/B4,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:48:07.160245,,,
1799,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质B9.07.B4.-.-,BrandLS0,brandMS1华天基,brandLS1龙源H,brandMS2龙源H,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:48:45.126576,,,
1813,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质B9.07.B4.-.-,BrandLS0龙源H,brandMS1华天基,brandLS1龙源H,brandMS2龙源H,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:48:48.731548,,,
1823,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS1:其他接纸机LS1也快要到糊机了，本次实材处理任务终止"",""ExceptionInfo"":"" ""}",2026-06-22 00:48:54.364161,,,
1874,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=B9.07.B4.-.-,楞型=3B,门幅=2350;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:49:25.823709,,,
1876,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:49:26.815909,,,
1908,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质B4.07.B4.-.-,BrandLS0,brandMS1华天基,brandLS1龙源H,brandMS2龙源H,brandLS2,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:50:58.164076,,,
